rule_code,variant_no,title,body
TODAY_FALLBACK,1,오늘의 흐름,"오늘은 {{today.ganjiKo}}일입니다. 하루의 기운은 일간 {{dm.nameKo|과와}} 오늘 일진의 관계로 읽으며, 아래 풀이에서 오늘 특히 신경 쓸 부분을 확인해 보세요."
TODAY_STEM_BIGEOP,1,나와 같은 기운이 모이는 날,"오늘은 {{today.ganjiKo}}일로, 일간 {{dm.nameKo|과와}} 같은 기운인 비겁이 들어옵니다. 자신감과 추진력이 올라가 혼자서도 일을 밀고 나가기 좋지만, 고집이 세지기 쉬우니 다른 사람의 의견도 한 번 더 들어 보세요."
TODAY_STEM_SIKSANG,1,표현과 아이디어가 살아나는 날,"오늘은 {{today.ganjiKo}}일로, 재능과 표현을 뜻하는 식상의 기운이 흐릅니다. 말과 글, 무언가를 만드는 일에서 좋은 결과가 나오기 쉬운 날이니 미뤄 둔 기획이나 연락을 먼저 꺼내 보세요."
TODAY_STEM_JAESEONG,1,성과와 실속을 챙기기 좋은 날,"오늘은 {{today.ganjiKo}}일로, 돈과 결과를 뜻하는 재성의 기운이 들어옵니다. 계산이 빨라지고 실속을 챙기기 좋은 날이지만, 욕심이 앞서면 무리한 약속을 하기 쉬우니 감당할 만큼만 정해 두세요."
TODAY_STEM_GWANSEONG,1,책임과 역할이 드러나는 날,"오늘은 {{today.ganjiKo}}일로, 직장과 책임을 뜻하는 관성의 기운이 흐릅니다. 맡은 일을 차분히 해내면 인정받기 좋은 날이고, 윗사람이나 규칙과 관련된 일이 생기기 쉬우니 약속 시간과 절차를 꼼꼼히 챙기세요."
TODAY_STEM_INSEONG,1,배우고 채우기 좋은 날,"오늘은 {{today.ganjiKo}}일로, 배움과 도움을 뜻하는 인성의 기운이 들어옵니다. 새로운 것을 익히거나 조언을 구하기 좋은 날이니, 서두르기보다 정보를 모으고 생각을 정리하는 데 시간을 써 보세요."
TODAY_BRANCH_BIGEOP,1,주변 사람과 어울리는 흐름,"오늘의 지지에는 비겁의 기운이 있어 친구나 동료와 함께하는 자리가 늘기 쉽습니다. 힘을 모으면 든든하지만, 비용이나 역할을 나눌 때는 기준을 먼저 정해 두는 편이 좋습니다."
TODAY_BRANCH_SIKSANG,1,몸을 움직이면 풀리는 흐름,"오늘의 지지에는 식상의 기운이 있어 가만히 있기보다 움직이고 표현할 때 기분과 일이 함께 풀립니다. 답답한 일이 있다면 산책이나 가벼운 운동으로 머리를 식혀 보세요."
TODAY_BRANCH_JAESEONG,1,생활 속 실속을 챙기는 흐름,"오늘의 지지에는 재성의 기운이 있어 장보기나 정산처럼 생활 속 돈 관리가 눈에 들어오기 쉽습니다. 미뤄 둔 작은 지출을 정리해 두면 마음이 한결 가벼워집니다."
TODAY_BRANCH_GWANSEONG,1,정해진 틀을 따르면 편한 흐름,"오늘의 지지에는 관성의 기운이 있어 일정과 규칙을 지킬 때 하루가 매끄럽게 흘러갑니다. 즉흥적으로 계획을 바꾸기보다 정해 둔 순서를 따르는 편이 좋습니다."
TODAY_BRANCH_INSEONG,1,쉬어 가며 채우는 흐름,"오늘의 지지에는 인성의 기운이 있어 무리하기보다 휴식과 정리가 도움이 되는 날입니다. 충분히 쉬고, 읽고 싶던 글이나 책을 조금이라도 펼쳐 보세요."
TODAY_BRANCH_CLASH,1,생활의 중심과 부딪히는 날,"오늘의 지지가 나의 생활 기반이자 배우자 자리인 일지와 충(서로 부딪치는 관계)을 이룹니다. 계획이 틀어지거나 가까운 사람과 말이 엇갈리기 쉬우니, 중요한 결정은 한 번 더 확인하세요."
TODAY_BRANCH_COMBINE,1,마음이 맞는 인연이 닿는 날,"오늘의 지지가 일지와 합(서로 끌어당기는 관계)을 이룹니다. 가까운 사람과 호흡이 잘 맞고, 부탁이나 협상이 수월하게 풀리기 쉬운 날입니다."
TODAY_STEM_COMBINE,1,뜻밖의 제안이 들어오는 날,"오늘의 천간이 일간 {{dm.nameKo|과와}} 합을 이룹니다. 새로운 제안이나 만남이 생기기 쉬운 날이니, 끌리는 일이 있다면 부담 없는 선에서 가볍게 응해 보세요."
TODAY_ADVICE_BIGEOP,1,오늘의 조언,"혼자 결정하기 전에 믿을 만한 사람 한 명에게 의견을 물어보세요. 같은 결론이라도 더 단단해집니다."
TODAY_ADVICE_SIKSANG,1,오늘의 조언,"떠오른 아이디어는 바로 메모해 두세요. 오늘의 생각이 다음 기회의 씨앗이 됩니다."
TODAY_ADVICE_JAESEONG,1,오늘의 조언,"사고 싶은 것이 생기면 하루만 미뤄 보세요. 꼭 필요한지 판단하기가 훨씬 쉬워집니다."
TODAY_ADVICE_GWANSEONG,1,오늘의 조언,"약속 장소에 10분 먼저 도착하는 것만으로도 오늘 받을 좋은 평가를 지킬 수 있습니다."
TODAY_ADVICE_INSEONG,1,오늘의 조언,"오늘 배운 것을 한 줄로 적어 두세요. 짧은 기록이 오래 남는 공부가 됩니다."
TODAY_CLASH_ADVICE,1,오늘의 조언,"말을 꺼내기 전에 한 박자 쉬고, 이동할 때는 시간을 넉넉히 두세요. 서두르지 않는 것만으로도 부딪힘이 크게 줄어듭니다."
TOTAL_FALLBACK,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격, 일간의 힘은 {{strength.band|ko}}입니다. 오행 중에서는 {{oh.max|ko}}의 기운이 가장 두드러져, 성향과 선택 전반에 그 색이 묻어납니다."
TOTAL_VERY_WEAK,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격이며, 일간을 돕는 기운이 적은 극신약 사주입니다. 혼자 앞서기보다 좋은 환경과 사람을 곁에 두고 힘을 모을 때 타고난 재능이 온전히 드러나는 구조입니다."
